hs6,year,n_eu_codes,min_mrl_weakest,lumped,stringency
080212,2018,1,0.01,0,4.6052
080212,2019,1,0.01,0,4.6052
080212,2020,1,0.01,0,4.6052
080212,2021,1,0.005,0,5.2983
080212,2022,1,0.005,0,5.2983
080212,2023,1,0.005,0,5.2983
080221,2015,1,0.01,0,4.6052
080221,2016,1,0.01,0,4.6052
080221,2017,1,0.01,0,4.6052
080221,2018,1,0.01,0,4.6052
080221,2019,1,0.01,0,4.6052
080221,2020,1,0.01,0,4.6052
080221,2021,1,0.005,0,5.2983
080221,2022,1,0.005,0,5.2983
080221,2023,1,0.005,0,5.2983
080222,2015,1,0.01,0,4.6052
080222,2016,1,0.01,0,4.6052
080222,2017,1,0.01,0,4.6052
080222,2018,1,0.01,0,4.6052
080222,2019,1,0.01,0,4.6052
080222,2020,1,0.01,0,4.6052
080222,2021,1,0.005,0,5.2983
080222,2022,1,0.005,0,5.2983
080222,2023,1,0.005,0,5.2983
080231,2015,1,0.01,0,4.6052
080231,2016,1,0.01,0,4.6052
080231,2017,1,0.01,0,4.6052
080231,2018,1,0.01,0,4.6052
080231,2019,1,0.01,0,4.6052
080231,2020,1,0.01,0,4.6052
080231,2021,1,0.005,0,5.2983
080231,2022,1,0.005,0,5.2983
080231,2023,1,0.005,0,5.2983
080232,2015,1,0.01,0,4.6052
080232,2016,1,0.01,0,4.6052
080232,2017,1,0.01,0,4.6052
080232,2018,1,0.01,0,4.6052
080232,2019,1,0.01,0,4.6052
080232,2020,1,0.01,0,4.6052
080232,2021,1,0.005,0,5.2983
080232,2022,1,0.005,0,5.2983
080232,2023,1,0.005,0,5.2983
080241,2015,1,0.01,0,4.6052
080241,2016,1,0.01,0,4.6052
080241,2017,1,0.01,0,4.6052
080241,2018,1,0.01,0,4.6052
080241,2019,1,0.01,0,4.6052
080241,2020,1,0.01,0,4.6052
080241,2021,1,0.005,0,5.2983
080241,2022,1,0.005,0,5.2983
080241,2023,1,0.005,0,5.2983
080242,2015,1,0.01,0,4.6052
080242,2016,1,0.01,0,4.6052
080242,2017,1,0.01,0,4.6052
080242,2018,1,0.01,0,4.6052
080242,2019,1,0.01,0,4.6052
080242,2020,1,0.01,0,4.6052
080242,2021,1,0.005,0,5.2983
080242,2022,1,0.005,0,5.2983
080242,2023,1,0.005,0,5.2983
080251,2015,1,0.01,0,4.6052
080251,2016,1,0.01,0,4.6052
080251,2017,1,0.01,0,4.6052
080251,2018,1,0.01,0,4.6052
080251,2019,1,0.01,0,4.6052
080251,2020,1,0.01,0,4.6052
080251,2021,1,0.005,0,5.2983
080251,2022,1,0.005,0,5.2983
080251,2023,1,0.005,0,5.2983
080252,2015,1,0.01,0,4.6052
080252,2016,1,0.01,0,4.6052
080252,2017,1,0.01,0,4.6052
080252,2018,1,0.01,0,4.6052
080252,2019,1,0.01,0,4.6052
080252,2020,1,0.01,0,4.6052
080252,2021,1,0.005,0,5.2983
080252,2022,1,0.005,0,5.2983
080252,2023,1,0.005,0,5.2983
080261,2015,1,0.01,0,4.6052
080261,2016,1,0.01,0,4.6052
080261,2017,1,0.01,0,4.6052
080261,2018,1,0.01,0,4.6052
080261,2019,1,0.01,0,4.6052
080261,2020,1,0.01,0,4.6052
080261,2021,1,0.005,0,5.2983
080261,2022,1,0.005,0,5.2983
080261,2023,1,0.005,0,5.2983
080262,2015,1,0.01,0,4.6052
080262,2016,1,0.01,0,4.6052
080262,2017,1,0.01,0,4.6052
080262,2018,1,0.01,0,4.6052
080262,2019,1,0.01,0,4.6052
080262,2020,1,0.01,0,4.6052
080262,2021,1,0.005,0,5.2983
080262,2022,1,0.005,0,5.2983
080262,2023,1,0.005,0,5.2983
080390,2015,1,0.01,0,4.6052
080390,2016,1,0.005,0,5.2983
080390,2017,1,0.005,0,5.2983
080390,2018,1,0.005,0,5.2983
080390,2019,1,0.005,0,5.2983
080390,2020,1,0.005,0,5.2983
080390,2021,1,0.005,0,5.2983
080390,2022,1,0.001,0,6.9078
080390,2023,1,0.001,0,6.9078
080410,2015,1,0.01,0,4.6052
080410,2016,1,0.003,0,5.8091
080410,2017,1,0.003,0,5.8091
080410,2018,1,0.003,0,5.8091
080410,2019,1,0.003,0,5.8091
080410,2020,1,0.003,0,5.8091
080410,2021,1,0.003,0,5.8091
080410,2022,1,0.001,0,6.9078
080410,2023,1,0.001,0,6.9078
080420,2015,1,0.01,0,4.6052
080420,2016,1,0.003,0,5.8091
080420,2017,1,0.003,0,5.8091
080420,2018,1,0.003,0,5.8091
080420,2019,1,0.003,0,5.8091
080420,2020,1,0.003,0,5.8091
080420,2021,1,0.003,0,5.8091
080420,2022,1,0.001,0,6.9078
080420,2023,1,0.001,0,6.9078
080430,2015,1,0.01,0,4.6052
080430,2016,1,0.005,0,5.2983
080430,2017,1,0.005,0,5.2983
080430,2018,1,0.005,0,5.2983
080430,2019,1,0.005,0,5.2983
080430,2020,1,0.005,0,5.2983
080430,2021,1,0.005,0,5.2983
080430,2022,1,0.001,0,6.9078
080430,2023,1,0.001,0,6.9078
080440,2015,1,0.01,0,4.6052
080440,2016,1,0.005,0,5.2983
080440,2017,1,0.005,0,5.2983
080440,2018,1,0.005,0,5.2983
080440,2019,1,0.005,0,5.2983
080440,2020,1,0.005,0,5.2983
080440,2021,1,0.005,0,5.2983
080440,2022,1,0.005,0,5.2983
080440,2023,1,0.005,0,5.2983
080450,2015,1,0.01,0,4.6052
080450,2016,1,0.005,0,5.2983
080450,2017,1,0.005,0,5.2983
080450,2018,1,0.005,0,5.2983
080450,2019,1,0.005,0,5.2983
080450,2020,1,0.005,0,5.2983
080450,2021,1,0.005,0,5.2983
080450,2022,1,0.001,0,6.9078
080450,2023,1,0.001,0,6.9078
080510,2015,1,0.01,0,4.6052
080510,2016,1,0.01,0,4.6052
080510,2017,1,0.01,0,4.6052
080510,2018,1,0.01,0,4.6052
080510,2019,1,0.01,0,4.6052
080510,2020,1,0.01,0,4.6052
080510,2021,1,0.005,0,5.2983
080510,2022,1,0.001,0,6.9078
080510,2023,1,0.001,0,6.9078
080520,2015,1,0.01,0,4.6052
080520,2016,1,0.01,0,4.6052
080520,2017,1,0.01,0,4.6052
080520,2018,1,0.01,0,4.6052
080520,2019,1,0.01,0,4.6052
080520,2020,1,0.01,0,4.6052
080520,2021,1,0.005,0,5.2983
080520,2022,1,0.001,0,6.9078
080520,2023,1,0.001,0,6.9078
080540,2015,1,0.01,0,4.6052
080540,2016,1,0.01,0,4.6052
080540,2017,1,0.01,0,4.6052
080540,2018,1,0.01,0,4.6052
080540,2019,1,0.01,0,4.6052
080540,2020,1,0.01,0,4.6052
080540,2021,1,0.005,0,5.2983
080540,2022,1,0.001,0,6.9078
080540,2023,1,0.001,0,6.9078
080550,2015,1,0.01,0,4.6052
080550,2016,1,0.01,0,4.6052
080550,2017,1,0.01,0,4.6052
080550,2018,1,0.01,0,4.6052
080550,2019,1,0.01,0,4.6052
080550,2020,1,0.01,0,4.6052
080550,2021,1,0.005,0,5.2983
080550,2022,1,0.001,0,6.9078
080550,2023,1,0.001,0,6.9078
080610,2015,1,0.01,0,4.6052
080610,2016,1,0.002,0,6.2146
080610,2017,1,0.002,0,6.2146
080610,2018,1,0.002,0,6.2146
080610,2019,1,0.002,0,6.2146
080610,2020,1,0.002,0,6.2146
080610,2021,1,0.002,0,6.2146
080610,2022,1,0.001,0,6.9078
080610,2023,1,0.001,0,6.9078
080711,2015,1,0.01,0,4.6052
080711,2016,1,0.005,0,5.2983
080711,2017,1,0.005,0,5.2983
080711,2018,1,0.005,0,5.2983
080711,2019,1,0.005,0,5.2983
080711,2020,1,0.005,0,5.2983
080711,2021,1,0.005,0,5.2983
080711,2022,1,0.001,0,6.9078
080711,2023,1,0.001,0,6.9078
080719,2015,1,0.01,0,4.6052
080719,2016,1,0.005,0,5.2983
080719,2017,1,0.005,0,5.2983
080719,2018,1,0.005,0,5.2983
080719,2019,1,0.005,0,5.2983
080719,2020,1,0.005,0,5.2983
080719,2021,1,0.005,0,5.2983
080719,2022,1,0.001,0,6.9078
080719,2023,1,0.001,0,6.9078
080720,2015,1,0.01,0,4.6052
080720,2016,1,0.005,0,5.2983
080720,2017,1,0.005,0,5.2983
080720,2018,1,0.005,0,5.2983
080720,2019,1,0.005,0,5.2983
080720,2020,1,0.005,0,5.2983
080720,2021,1,0.005,0,5.2983
080720,2022,1,0.001,0,6.9078
