parent_code,group_name,sub_code,product_name,scientific_name
0632010,Strawberry,0632010-056,Lemon verbena,Lippia triphylla ; syn: Lippia citriodora
0632010,Strawberry,0632010-057,Lime/linden,Tilia cordata
0632010,Strawberry,0632010-058,,Tilia platyphyllos
0632010,Strawberry,0632010-059,,Tilia tomentosa ; syn: Tilia argentea
0632010,Strawberry,0632010-060,Mallow,Malva sylvestris
0632010,Strawberry,0632010-061,Marshmallow,Althaea officinalis
0632010,Strawberry,0632010-062,Meadowsweet,Filipendula ulmaria
0632010,Strawberry,0632010-063,Mistletoe,Viscum album
0632010,Strawberry,0632010-064,Moldavian dragonhead,Dracocephalum moldavica
0632010,Strawberry,0632010-065,Mugwort,Artemisia vulgaris
0632010,Strawberry,0632010-066,Mulberry (black and white),Morus alba
0632010,Strawberry,0632010-067,,Morus nigra
0632010,Strawberry,0632010-068,Mullein,Verbascum spp.
0632010,Strawberry,0632010-069,Norway spruce,Picea abies
0632010,Strawberry,0632010-070,Oat,Avena sativa
0632010,Strawberry,0632010-071,Olive,Olea europaea
0632010,Strawberry,0632010-072,Papaya,Carica papaya
0632010,Strawberry,0632010-073,Passion flower,Passiflora incarnata
0632010,Strawberry,0632010-074,Plantain,Plantago major
0632010,Strawberry,0632010-075,Raspberry (red and yellow),Rubus idaeus
0632010,Strawberry,0632010-076,Red clover,Trifolium pratense
0632010,Strawberry,0632010-077,Ribwort plantain,Plantago lanceolata
0632010,Strawberry,0632010-078,Rock rose,Cistus incanus ; syn: Cistus creticus ; syn: Cistus villosus
0632010,Strawberry,0632010-079,Roman wormwood,Artemisia pontica
0632010,Strawberry,0632010-080,Shepherd's purse,Capsella bursa-pastoris
0632010,Strawberry,0632010-081,Silverweed,Potentilla anserina
0632010,Strawberry,0632010-082,Smooth rupturewort,Herniaria glabra
0632010,Strawberry,0632010-083,Southernwood,Artemisia abrotanum
0632010,Strawberry,0632010-084,St. John's Wort,Hypericum perforatum
0632010,Strawberry,0632010-085,Sweet blackberry,Rubus chingii var. suavissimus ; syn: Rubus suavissimus
0632010,Strawberry,0632010-086,Sweet orange,Citrus sinensis
0632010,Strawberry,0632010-087,Sweet trefoil,Trigonella caerulea ; syn: Trigonella coerulea
0632010,Strawberry,0632010-088,Sweet woodruff,Galium odoratum
0632010,Strawberry,0632010-089,Tansy,Tanacetum vulgare
0632010,Strawberry,0632010-090,Tea tree,Melaleuca alternifolia
0632010,Strawberry,0632010-091,Toadflax,Linaria vulgaris
